Sigla,Expansão,Categoria,Significado / Uso,Exemplo Tipo (data/arquivo),Notas / Transcrição
"Ierey","Jesus","nomes e apelidos","apelido","Maria de Ierey","Erro frequente de leitura cursivo, onde o J é lido como I, o s cursivo intermédio lido como e/r, e o s final como y; corrigir para Jesus"
"Fr.tas / Fr.ta","Freitas","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido frequente"
"de Fr.tas / de Fr.ta","de Freitas","apelidos","apelido","registos paroquiais séc. XVII-XVIII","variante com determinante ""de"" colado à sigla"
"Corr.a / Corr./ Corz.a / Corz","Correia","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido frequente"
"Alb.o / Alb. / Alb.e / Alb.º","Alberto","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","forma contraída de Alberto"
"Ilena","Helena","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","variante arcaica/fonética de Helena que deve ser atualizada e expandida"
"Alex.e","Alexandre","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","forma contraída de Alexandre"
"Felg.a / Felg.ª /Felgr.a","Felgueira","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido frequente"
"Dem.te","Demente","observações","condição de saúde","registos paroquiais séc. XVII-XVIII","vai para Observações como ""demente"""
"deMesq.ta","de Mesquita","apelidos","apelido","registos paroquiais séc. XVII-XVIII","variante com determinante ""de"" colado à sigla"
